1	1948.76, tol=2.22045e-13
2	0.0392049, tol=2.22045e-13
3	0.00594853, tol=2.22045e-13
4	0.00212194, tol=2.22045e-13
5	0.00191903, tol=2.22045e-13
6	0.00191372, tol=2.22045e-13
7	0.00191371, tol=2.22045e-13
8	0.00191371, tol=2.22045e-13
9	0.00191371, tol=2.22045e-13
10	0.00191371, tol=2.22045e-13
j=0	k=1	p=-1.12237e-15	1.25971e-30
j=0	k=2	p=4.89192e-16	1.49901e-30
j=0	k=3	p=3.38271e-17	1.50016e-30
j=0	k=4	p=8.03177e-16	2.14525e-30
j=0	k=5	p=2.35922e-16	2.20091e-30
j=0	k=6	p=-7.12676e-14	5.08128e-27
j=0	k=7	p=-2.59168e-15	5.08799e-27
j=0	k=8	p=-1.41033e-15	5.08998e-27
j=0	k=9	p=-5.83973e-15	5.12409e-27
j=0	k=10	p=5.70889e-14	8.38323e-27
j=0	k=11	p=-9.04745e-15	8.46508e-27
j=0	k=12	p=1.23009e-14	8.6164e-27
j=0	k=13	p=5.0882e-14	1.12054e-26
j=0	k=14	p=9.96252e-15	1.13046e-26
j=0	k=15	p=-2.3963e-15	1.13104e-26
j=0	k=16	p=-6.10623e-16	1.13107e-26
j=0	k=17	p=-2.66974e-15	1.13179e-26
j=0	k=18	p=-1.42779e-15	1.13199e-26
j=0	k=19	p=2.94556e-15	1.13286e-26
j=0	k=20	p=-1.28023e-15	1.13302e-26
j=0	k=21	p=3.11296e-15	1.13399e-26
j=0	k=22	p=8.34489e-15	1.14096e-26
j=0	k=23	p=8.20871e-15	1.14769e-26
j=0	k=24	p=1.26531e-14	1.1637e-26
j=0	k=25	p=-3.36493e-14	1.27693e-26
j=0	k=26	p=-1.0502e-13	2.37985e-26
j=0	k=27	p=-5.00819e-14	2.63067e-26
j=0	k=28	p=8.01318e-15	2.6371e-26
j=0	k=29	p=-5.26597e-15	2.63987e-26
j=0	k=30	p=-4.81776e-15	2.64219e-26
j=0	k=31	p=3.1225e-16	2.6422e-26
j=0	k=32	p=2.25731e-16	2.6422e-26
j=0	k=33	p=-7.2416e-15	2.64745e-26
j=0	k=34	p=-3.747e-16	2.64746e-26
j=0	k=35	p=1.0018e-15	2.64756e-26
j=0	k=36	p=3.59365e-14	2.77671e-26
j=0	k=37	p=-1.18482e-15	2.77685e-26
j=0	k=38	p=5.13894e-14	3.04093e-26
j=0	k=39	p=-3.1696e-14	3.1414e-26
j=0	k=40	p=1.51094e-15	3.14163e-26
j=0	k=41	p=-1.81509e-13	6.43619e-26
j=0	k=42	p=2.60451e-14	6.50402e-26
j=0	k=43	p=8.1637e-14	7.17048e-26
j=0	k=44	p=-5.56916e-14	7.48064e-26
j=0	k=45	p=-9.72139e-15	7.49009e-26
j=0	k=46	p=-1.78686e-13	1.0683e-25
j=0	k=47	p=1.61564e-13	1.32933e-25
j=0	k=48	p=2.44221e-13	1.92577e-25
j=0	k=49	p=-3.46372e-14	1.93776e-25
j=0	k=50	p=-3.9066e-14	1.95303e-25
j=0	k=51	p=1.96312e-14	1.95688e-25
j=0	k=52	p=-1.30547e-14	1.95858e-25
j=0	k=53	p=1.04671e-08	1.0956e-16
j=0	k=54	p=-3.36196e-09	1.20863e-16
j=0	k=55	p=2.05296e-14	1.20863e-16
j=0	k=56	p=4.88168e-09	1.44694e-16
j=0	k=57	p=-2.08064e-08	5.776e-16
j=0	k=58	p=-5.36376e-15	5.776e-16
j=0	k=59	p=4.04563e-09	5.93968e-16
j=0	k=60	p=1.68303e-14	5.93968e-16
j=0	k=61	p=-1.76113e-08	9.04126e-16
j=0	k=62	p=1.18262e-08	1.04398e-15
j=0	k=63	p=1.42261e-09	1.04601e-15
j=0	k=64	p=1.6943e-08	1.33307e-15
j=0	k=65	p=1.87207e-09	1.33658e-15
j=0	k=66	p=-3.31194e-09	1.34755e-15
j=0	k=67	p=-2.96935e-09	1.35636e-15
j=0	k=68	p=-7.67371e-09	1.41525e-15
j=0	k=69	p=-4.33602e-09	1.43405e-15
j=0	k=70	p=-4.89209e-09	1.45798e-15
j=0	k=71	p=-4.98432e-09	1.48283e-15
j=0	k=72	p=1.22427e-08	1.63271e-15
j=0	k=73	p=9.53274e-09	1.72358e-15
